"Feature","Gain","Cover","Frequence"
"537",0.00140363,0.000834274,0.00175325
"1087",0.00140175,0.000962259,0.00158627
"282",0.00139415,0.00133247,0.00107839
"272",0.00137854,0.000859253,0.00155612
"767",0.00137041,0.00105858,0.00154917
"525",0.00136725,0.0017457,0.00150742
"190",0.00134824,0.00181967,0.00157236
"396",0.00133964,0.00367091,0.000983302
"220",0.00133921,0.00444811,0.000542672
"362",0.00133905,0.000731296,0.00168367
"346",0.00133826,0.000869887,0.00160946
"498",0.00132768,0.000752208,0.00164657
"714",0.00132389,0.000609933,0.00124536
"1135",0.00132378,0.000882312,0.00164657
"1365",0.00132291,0.00105429,0.000737477
"717",0.00132224,0.000801454,0.00150278
"741",0.0013222,0.000849101,0.00154453
"733",0.00132075,0.000830725,0.00146336
"164",0.00131614,0.00111432,0.0015167
"725",0.00131544,0.000910667,0.001359
"474",0.00131309,0.000984906,0.00165121
"594",0.00131222,0.00102466,0.000725881
"321",0.00131198,0.000991847,0.00147959
"911",0.00131099,0.001436,0.00127319
"1066",0.00131064,0.00134011,0.00155612
"152",0.00131062,0.00142252,0.00165816
"1122",0.00130076,0.000660879,0.00163265
"4",0.00129283,0.00809801,0.000881262
"1351",0.00129269,0.000794258,0.00142857
"744",0.0012878,0.000702065,0.00145872
"549",0.00128484,0.00104264,0.00147495
"897",0.0012843,0.000948997,0.00152365
"1290",0.00127602,0.00197038,0.000394249
"718",0.00127256,0.001319,0.00147032
"113",0.00126753,0.00124552,0.00161642
"165",0.00125339,0.00104001,0.00150974
"447",0.00124964,0.00148463,0.00130566
"747",0.00124945,0.000698446,0.00144481
"1078",0.00124344,0.00103689,0.00147495
"239",0.00123789,0.000994914,0.00150974
"350",0.00123649,0.00120842,0.00137523
"1020",0.00123444,0.00102475,0.00135204
"405",0.0012342,0.00152054,0.00109926
"947",0.00123316,0.000903143,0.0013474
"1127",0.00122914,0.00100217,0.00143785
"529",0.00122862,0.000998827,0.00149351
"1393",0.0012284,0.00107637,0.00137755
"163",0.0012271,0.000932272,0.00153293
"440",0.00122256,0.000485941,0.00134045
"252",0.00122089,0.00104639,0.00144944
"467",0.00121302,0.000907658,0.00142161
"918",0.00121276,0.000951481,0.00100881
"482",0.0012126,0.00256055,0.000848794
"322",0.00121026,0.000932026,0.00146336
"957",0.00120835,0.00052551,0.00149351
"510",0.0012043,0.000411368,0.00144017
"1100",0.001202,0.000493745,0.00143089
"1289",0.00120016,0.00154634,0.000596011
"281",0.00119836,0.000894179,0.00135436
"531",0.00119195,0.0021288,0.001359
"846",0.00118187,0.00079737,0.00141002
"186",0.0011815,0.000697582,0.00149814
"960",0.00118086,0.00106146,0.00142161
"278",0.00117985,0.00209421,0.00113636
"90",0.00117844,0.00194889,0.00141466
"1424",0.00117241,0.000652037,0.00140306
"238",0.00117101,0.000989415,0.00151902
"415",0.00116308,0.000940514,0.00138219
"629",0.00115885,0.000754425,0.00145408
"948",0.0011568,0.000757013,0.00116187
"748",0.00115481,0.000678176,0.00137291
"524",0.00114748,0.00166217,0.00126391
"916",0.00114668,0.0011498,0.000997217
"1373",0.00114253,0.000560758,0.00131725
"1286",0.00113793,0.000914892,0.00126391
"358",0.00113594,0.000704956,0.00150742
"142",0.00112991,0.00105913,0.00137059
"1117",0.00112818,0.000642063,0.00137755
"480",0.00112602,0.00133495,0.00147727
"107",0.00112173,0.000669395,0.00150046
"490",0.00111953,0.00178855,0.00112709
"1429",0.00111851,0.000871677,0.00135436
"425",0.00111651,0.000544424,0.00142161
"326",0.00111208,0.00160458,0.000955473
"1372",0.00111071,0.000687951,0.00136132
"719",0.00110317,0.000712169,0.00128711
"45",0.00109762,0.00056328,0.000282931
"1442",0.00109051,0.00079866,0.00123377
"169",0.00108982,0.000674157,0.00142625
"253",0.00108865,0.000426962,0.00137291
"589",0.00108784,0.00320799,0.000980983
"738",0.00108496,0.000597072,0.00127087
"104",0.0010842,0.00226072,0.0012987
