"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.945544,0.001393,0.77995,0.001875
0.945859,0.001398,0.780002,0.001873
0.946145,0.001401,0.780075,0.001847
0.946479,0.001424,0.780141,0.001855
0.94679,0.001426,0.780184,0.001839
0.947052,0.001472,0.780255,0.001836
0.947347,0.001461,0.78029,0.001826
0.947655,0.001503,0.780339,0.001808
0.94792,0.001559,0.780388,0.00179
0.948251,0.001569,0.780458,0.001791
0.948503,0.00158,0.780518,0.001815
0.948803,0.001595,0.780562,0.001821
0.94906,0.001625,0.780604,0.001829
0.949306,0.001641,0.780655,0.00182
0.949566,0.00168,0.780693,0.001823
0.949789,0.001705,0.780735,0.001815
0.950053,0.001637,0.7808,0.001804
0.950314,0.001671,0.780857,0.001794
0.950569,0.001684,0.780907,0.001798
0.950885,0.001665,0.780964,0.001785
0.951198,0.001655,0.781001,0.001751
0.951426,0.001659,0.781047,0.001724
0.951688,0.001629,0.781085,0.001719
0.95196,0.001619,0.78113,0.001724
0.952208,0.001664,0.781184,0.001707
0.952426,0.001698,0.781246,0.00171
0.952693,0.001723,0.781299,0.001699
0.952954,0.001777,0.781346,0.0017
0.953201,0.001735,0.781386,0.001705
0.95345,0.001686,0.781415,0.001696
0.953719,0.001667,0.781465,0.001711
0.95398,0.001657,0.781497,0.001735
0.95419,0.001691,0.781532,0.00173
0.954477,0.001649,0.781593,0.001722
0.954736,0.001654,0.781627,0.001735
0.954982,0.001641,0.781646,0.001737
0.955245,0.001655,0.781687,0.001726
0.955464,0.001624,0.781728,0.0017
0.955714,0.001588,0.781787,0.001707
0.955926,0.001596,0.781818,0.001721
0.956141,0.00155,0.781863,0.001745
0.956339,0.00158,0.7819,0.001749
0.956559,0.001569,0.781945,0.001744
0.956786,0.001546,0.781991,0.001744
0.957065,0.001569,0.782064,0.001721
0.957318,0.001544,0.782105,0.001717
0.957551,0.00153,0.782155,0.001734
0.957783,0.001499,0.782183,0.001738
0.957995,0.001492,0.78223,0.001732
0.958212,0.001504,0.782282,0.001735
0.958456,0.001519,0.782319,0.001732
0.958645,0.001485,0.782349,0.001722
0.958889,0.001499,0.782404,0.001736
0.959063,0.00148,0.782451,0.001752
0.959271,0.001508,0.782489,0.001753
0.959477,0.001467,0.782501,0.001775
0.959709,0.001468,0.782525,0.001773
0.959924,0.001497,0.782576,0.001779
0.960166,0.001494,0.782616,0.001763
0.960368,0.001484,0.782657,0.001767
0.96055,0.001464,0.782711,0.001782
0.960736,0.001473,0.782739,0.00178
0.960953,0.001489,0.782764,0.001777
0.961109,0.001467,0.782791,0.001767
0.961288,0.001448,0.782829,0.001754
0.961466,0.001421,0.782865,0.001754
0.96169,0.001438,0.78291,0.001759
0.961868,0.001407,0.782926,0.001743
0.962041,0.001399,0.782949,0.001738
0.962259,0.001354,0.782976,0.001733
0.962492,0.001365,0.782992,0.001752
0.962719,0.001345,0.783003,0.001758
0.962908,0.001391,0.78302,0.001769
0.963081,0.001349,0.783055,0.001753
0.963277,0.001316,0.783086,0.001759
0.963437,0.001312,0.78312,0.001766
0.963656,0.001298,0.783165,0.001778
0.963859,0.001285,0.783207,0.001785
0.964044,0.001253,0.783237,0.001783
0.964252,0.001256,0.783284,0.001799
0.96445,0.001265,0.783306,0.001815
0.964592,0.001268,0.78334,0.001796
0.964756,0.001277,0.783363,0.001812
0.964926,0.001289,0.783399,0.001822
0.965062,0.001266,0.783427,0.001821
0.965262,0.001196,0.783461,0.001819
0.965401,0.001193,0.783478,0.001837
0.965581,0.001208,0.783513,0.00185
0.965745,0.001189,0.783532,0.001832
0.965962,0.001183,0.783576,0.00186
0.966138,0.001132,0.783614,0.001858
0.96631,0.001134,0.783649,0.001868
0.966462,0.001184,0.783686,0.001872
0.966616,0.001208,0.783712,0.001859
0.966781,0.00121,0.78373,0.001858
0.966954,0.001219,0.783753,0.001857
0.967074,0.001215,0.783781,0.001858
0.96724,0.001181,0.783805,0.001851
0.9674,0.001175,0.783818,0.001857
0.967584,0.001136,0.783861,0.001852
0.96775,0.001138,0.783898,0.001852
0.967949,0.001152,0.783936,0.001852
0.968074,0.001134,0.783962,0.00185
0.968244,0.001126,0.783991,0.001836
0.968426,0.001113,0.784019,0.001848
0.968549,0.001074,0.784025,0.001848
0.968714,0.001026,0.784062,0.001835
0.96887,0.000996,0.784095,0.001848
0.969071,0.000991,0.784119,0.00183
0.969233,0.000972,0.784135,0.001837
0.969386,0.000935,0.784142,0.001864
0.969536,0.000912,0.784162,0.001868
0.969721,0.000922,0.784188,0.001872
0.969889,0.000879,0.78422,0.001882
0.970052,0.000926,0.784258,0.001871
0.97021,0.000902,0.784291,0.001848
0.97034,0.000863,0.784312,0.001841
0.970482,0.000863,0.784356,0.001819
